ZipCode,City,County,TotalPopulation,PricePerSqFt,PctNonLatinxWhite
01431,Ashby,Middlesex,3195,161,94.9
01432,Ayer,Middlesex,7703,213,80
01450,Groton,Middlesex,11282,219,92.5
01460,Littleton,Middlesex,9754,252,89
01463,Pepperell,Middlesex,12049,182,91.8
01464,Shirley,Middlesex,7572,173,68.4
01469,Townsend,Middlesex,7454,160,93.8
01474,Townsend,Middlesex,1964,155,93.2
01701,Framingham,Middlesex,32098,286,79.4
01720,Acton,Middlesex,22680,274,69.7
01730,Bedford,Middlesex,14031,375,76.7
01741,Carlisle,Middlesex,5160,282,84
01742,Concord,Middlesex,19383,404,81.6
01746,Holliston,Middlesex,14480,255,89
01748,Hopkinton,Middlesex,16720,257,87.2
01749,Hudson,Middlesex,19843,237,87.5
01752,Marlborough,Middlesex,39771,229,73
01754,Maynard,Middlesex,10560,248,88.6
01760,Natick,Middlesex,35715,340,80.1
01770,Sherborn,Middlesex,4302,273,89.4
01773,Lincoln,Middlesex,4791,369,77.6
01775,Stow,Middlesex,7061,243,91
01776,Sudbury,Middlesex,18697,301,84.7
01778,Wayland,Middlesex,13850,357,82.7
01801,Woburn,Middlesex,40375,341,80.4
01803,Burlington,Middlesex,26103,326,74.5
01810,Andover,Essex,35375,263,79.4
01821,Billerica,Middlesex,32348,256,86.6
01824,Chelmsford,Middlesex,25961,262,85.2
01826,Dracut,Middlesex,30948,219,83.4
01827,Dunstable,Middlesex,3337,202,92.7
01830,Haverhill,Essex,26524,191,72.2
01832,Haverhill,Essex,23372,194,68.2
01833,Georgetown,Essex,8569,246,93
01835,Haverhill,Essex,13047,198,83.6
01841,Lawrence,Essex,48295,181,12
01843,Lawrence,Essex,25942,221,23.4
01844,Methuen,Essex,49587,206,65
01845,North Andover,Essex,30170,256,82.8
01850,Lowell,Middlesex,16890,185,54.5
01851,Lowell,Middlesex,29849,194,38.5
01852,Lowell,Middlesex,34756,201,56.5
01854,Lowell,Middlesex,29561,199,48
01860,Merrimac,Essex,6752,215,96.3
01862,Billerica,Middlesex,10676,241,78.2
01863,Chelmsford,Middlesex,9106,250,83.8
01864,North Reading,Middlesex,15598,298,90.1
01867,Reading,Middlesex,24894,319,92.2
01876,Tewksbury,Middlesex,30433,278,91.2
01879,Tyngsboro,Middlesex,12305,201,84.7
01880,Wakefield,Middlesex,26450,309,91.8
01886,Westford,Middlesex,24087,272,78.4
01887,Wilmington,Middlesex,23538,314,88.9
01890,Winchester,Middlesex,22579,435,82.2
01902,Lynn,Essex,48218,259,29.7
01904,Lynn,Essex,17320,278,67.3
01905,Lynn,Essex,25590,271,33.2
01906,Saugus,Essex,28037,289,86.3
01907,Swampscott,Essex,14758,292,91.9
01908,Nahant,Essex,3488,346,96.6
01913,Amesbury,Essex,17218,226,92.8
01915,Beverly,Essex,41431,283,91.6
01921,Boxford,Essex,8228,254,90.4
01922,Newbury,Essex,2812,241,96.3
01923,Danvers,Essex,27391,264,90.7
01930,Gloucester,Essex,29858,326,94.6
01938,Ipswich,Essex,13810,275,94.6
01940,Lynnfield,Essex,13425,283,90.6
01944,Manchester,Essex,5327,361,97.2
01945,Marblehead,Essex,20393,357,92.7
01949,Middleton,Essex,9656,287,86.1
01950,Newburyport,Essex,17890,343,92.8
01951,Newbury,Essex,4152,333,94.8
01952,Salisbury,Essex,9035,239,92.8
01960,Peabody,Essex,52313,274,84.3
01966,Rockport,Essex,7184,389,95.9
01969,Rowley,Essex,6232,255,96.9
01970,Salem,Essex,42991,264,71.8
01982,Hamilton,Essex,7991,309,91.5
01983,Topsfield,Essex,6496,282,95.4
01984,Wenham,Essex,5179,285,89.7
01985,West Newbury,Essex,4545,238,97.4
02019,Bellingham,Norfolk,16929,206,91.6
02021,Canton,Norfolk,22829,286,80.3
02025,Cohasset,Norfolk,8393,339,97.7
02026,Dedham,Norfolk,25362,343,78.5
02030,Dover,Norfolk,5922,302,82.9
02032,Walpole,Norfolk,4410,280,83.2
02035,Foxborough,Norfolk,17448,254,87.7
02038,Franklin,Norfolk,32843,238,89
02052,Medfield,Norfolk,12610,293,90.8
02053,Medway,Norfolk,13162,237,89.4
02054,Millis,Norfolk,8144,246,92.7
02056,Norfolk,Norfolk,11388,244,85.4
02062,Norwood,Norfolk,29121,313,79
02067,Sharon,Norfolk,18148,291,75.5
02072,Stoughton,Norfolk,28338,221,72.8
02081,Walpole,Norfolk,19358,279,89.2
02090,Westwood,Norfolk,15612,376,88.2
02093,Wrentham,Norfolk,11597,232,94.1
02108,Boston,Suffolk,4211,1173,81.2
02109,Boston,Suffolk,4051,921,82.5
02110,Boston,Suffolk,2270,966,82.4
02111,Boston,Suffolk,7452,1017,39.2
02113,Boston,Suffolk,7464,893,88.9
02114,Boston,Suffolk,13247,969,72.7
02115,Boston,Suffolk,29244,1049,60.3
02116,Boston,Suffolk,23215,1179,71.4
02118,Boston,Suffolk,27325,1006,47.6
02119,Boston,Suffolk,28152,316,10.3
02120,Boston,Suffolk,15719,474,37.2
02121,Boston,Suffolk,28479,246,2.6
02122,Boston,Suffolk,24643,396,33.3
02124,Boston,Suffolk,55074,327,16.4
02125,Boston,Suffolk,35254,426,29.5
02126,Boston,Suffolk,29141,296,4.2
02127,Boston,Suffolk,37257,678,77
02128,Boston,Suffolk,46655,441,32.6
02129,Boston,Suffolk,18901,742,73.2
02130,Boston,Suffolk,39435,513,56.8
02131,Boston,Suffolk,32819,387,48.9
02132,Boston,Suffolk,28505,398,77.8
02134,Boston,Suffolk,18057,583,53.8
02135,Boston,Suffolk,42644,581,65.5
02136,Boston,Suffolk,33084,323,25.1
02138,Cambridge,Middlesex,37668,853,67
02139,Cambridge,Middlesex,36979,821,61.1
02140,Cambridge,Middlesex,19737,725,56.1
02141,Cambridge,Middlesex,13664,836,57.1
02142,Cambridge,Middlesex,2929,913,55.9
02143,Somerville,Middlesex,26773,647,72.4
02144,Somerville,Middlesex,24682,647,82.3
02145,Somerville,Middlesex,26430,531,58.3
02148,Malden,Middlesex,61375,339,46.5
02149,Everett,Middlesex,44993,327,46.1
02150,Chelsea,Suffolk,39263,324,22
02151,Revere,Suffolk,53873,280,56.2
02152,Winthrop,Suffolk,18391,310,85.7
02155,Medford,Middlesex,59779,413,73
02169,Quincy,Norfolk,56541,337,63.1
02170,Quincy,Norfolk,19434,376,57.9
02171,Quincy,Norfolk,17849,394,54.8
02176,Melrose,Middlesex,28132,357,85.3
02180,Stoneham,Middlesex,21967,315,90.9
02184,Braintree,Norfolk,37082,294,81.2
02186,Milton,Norfolk,27527,382,71.9
02188,Weymouth,Norfolk,15301,287,76.1
02189,Weymouth,Norfolk,15146,276,85.9
02190,Weymouth,Norfolk,17415,273,86.2
02191,Weymouth,Norfolk,8028,299,89.9
02210,Boston,Suffolk,2609,844,84.2
02215,Boston,Suffolk,25023,998,59.7
02322,Avon,Norfolk,4468,246,71.4
02343,Holbrook,Norfolk,10753,242,77.2
02368,Randolph,Norfolk,33980,271,35.9
02420,Lexington,Middlesex,14579,499,66.3
02421,Lexington,Middlesex,18760,514,67.6
02445,Brookline,Norfolk,20774,676,72.7
02446,Brookline,Norfolk,30113,744,70.4
02451,Waltham,Middlesex,18646,347,68.7
02452,Waltham,Middlesex,15470,349,69.9
02453,Waltham,Middlesex,28696,384,61.2
02458,Newton,Middlesex,12465,511,75.8
02459,Newton,Middlesex,19473,557,72.9
02460,Newton,Middlesex,9911,506,75.1
02461,Newton,Middlesex,7214,540,71.4
02464,Newton,Middlesex,3155,495,66.7
02465,Newton,Middlesex,12112,524,73.1
02466,Newton,Middlesex,8568,505,74.1
02467,Brookline,Norfolk,22105,562,70.3
02468,Newton,Middlesex,5568,574,78.5
02472,Watertown,Middlesex,34715,452,77.7
02474,Arlington,Middlesex,28028,452,76.8
02476,Arlington,Middlesex,16964,460,81
02478,Belmont,Middlesex,25940,539,75.5
02481,Wellesley,Norfolk,16309,522,80.3
02482,Wellesley,Norfolk,11015,526,78.6
02492,Needham,Norfolk,20128,455,87.6
02493,Weston,Middlesex,12027,475,79.7
02494,Needham,Norfolk,10301,468,78.1
02762,Plainville,Norfolk,9000,232,95.3
